DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020 12:00:00 AM,1,11,0
03/01/2020 12:00:00 AM,0,4,0
03/02/2020 12:00:00 AM,0,22,0
03/03/2020 12:00:00 AM,2,20,0
03/04/2020 12:00:00 AM,5,22,0
03/05/2020 12:00:00 AM,3,20,0
03/06/2020 12:00:00 AM,8,18,0
03/07/2020 12:00:00 AM,7,15,0
03/08/2020 12:00:00 AM,21,18,0
03/09/2020 12:00:00 AM,58,49,0
03/10/2020 12:00:00 AM,70,63,0
03/11/2020 12:00:00 AM,155,90,1
03/12/2020 12:00:00 AM,357,92,0
03/13/2020 12:00:00 AM,620,157,0
03/14/2020 12:00:00 AM,644,159,2
03/15/2020 12:00:00 AM,1037,189,5
03/16/2020 12:00:00 AM,2123,317,8
03/17/2020 12:00:00 AM,2455,359,8
03/18/2020 12:00:00 AM,2985,474,21
03/19/2020 12:00:00 AM,3714,560,24
03/20/2020 12:00:00 AM,4015,665,47
03/21/2020 12:00:00 AM,2640,701,44
03/22/2020 12:00:00 AM,2582,725,50
03/23/2020 12:00:00 AM,3571,1038,82
03/24/2020 12:00:00 AM,4507,1152,95
03/25/2020 12:00:00 AM,4864,1304,123
03/26/2020 12:00:00 AM,5051,1456,190
03/27/2020 12:00:00 AM,5128,1393,218
03/28/2020 12:00:00 AM,3478,1366,273
03/29/2020 12:00:00 AM,3560,1407,291
03/30/2020 12:00:00 AM,6131,1717,328
03/31/2020 12:00:00 AM,5473,1695,383
04/01/2020 12:00:00 AM,5464,1586,447
04/02/2020 12:00:00 AM,5768,1614,499
04/03/2020 12:00:00 AM,5676,1597,498
04/04/2020 12:00:00 AM,3868,1342,510
04/05/2020 12:00:00 AM,3794,1328,581
04/06/2020 12:00:00 AM,6378,1722,575
04/07/2020 12:00:00 AM,6065,1604,597
04/08/2020 12:00:00 AM,5586,1541,568
04/09/2020 12:00:00 AM,5074,1428,560
04/10/2020 12:00:00 AM,4519,1337,539
04/11/2020 12:00:00 AM,3733,1097,542
04/12/2020 12:00:00 AM,2888,997,573
04/13/2020 12:00:00 AM,3311,1213,570
04/14/2020 12:00:00 AM,4146,1087,512
04/15/2020 12:00:00 AM,3876,982,454
04/16/2020 12:00:00 AM,3525,882,413
04/17/2020 12:00:00 AM,3580,903,384
04/18/2020 12:00:00 AM,2169,661,391
04/19/2020 12:00:00 AM,2346,595,399
04/20/2020 12:00:00 AM,3787,721,364
04/21/2020 12:00:00 AM,3062,660,322
04/22/2020 12:00:00 AM,3460,600,312
04/23/2020 12:00:00 AM,2843,534,332
04/24/2020 12:00:00 AM,2539,550,316
04/25/2020 12:00:00 AM,1595,403,265
04/26/2020 12:00:00 AM,1002,375,247
04/27/2020 12:00:00 AM,2289,442,271
04/28/2020 12:00:00 AM,2728,441,228
04/29/2020 12:00:00 AM,2340,407,240
04/30/2020 12:00:00 AM,2020,343,222
05/01/2020 12:00:00 AM,1886,348,209
05/02/2020 12:00:00 AM,1057,261,192
05/03/2020 12:00:00 AM,783,255,178
05/04/2020 12:00:00 AM,1546,309,159
05/05/2020 12:00:00 AM,1512,283,151
05/06/2020 12:00:00 AM,1402,257,150
05/07/2020 12:00:00 AM,1233,252,142
05/08/2020 12:00:00 AM,1086,253,131
05/09/2020 12:00:00 AM,659,182,100
05/10/2020 12:00:00 AM,459,152,102
05/11/2020 12:00:00 AM,1234,246,103
